iter	Passed	Remaining
0	141	141087
1	143	71439
2	145	48204
3	146	36582
4	148	29489
5	150	24896
6	151	21479
7	152	18894
8	153	16900
9	154	15294
10	156	14083
11	158	13039
12	160	12175
13	161	11384
14	162	10688
15	163	10078
16	165	9547
17	166	9066
18	167	8634
19	168	8250
20	170	7944
21	171	7645
22	174	7409
23	175	7147
24	176	6895
25	177	6660
26	178	6438
27	179	6241
28	181	6063
29	182	5893
30	183	5733
31	185	5598
32	187	5484
33	188	5359
34	189	5234
35	191	5140
36	193	5029
37	194	4920
38	195	4812
39	196	4715
40	198	4636
41	200	4567
42	201	4487
43	202	4408
44	203	4329
45	205	4258
46	206	4185
47	207	4112
48	208	4042
49	209	3977
50	210	3917
51	212	3867
52	213	3822
53	215	3779
54	217	3731
55	218	3681
56	219	3631
57	220	3583
58	221	3532
59	222	3485
60	223	3438
61	224	3394
62	225	3358
63	227	3326
64	229	3298
65	230	3262
66	231	3226
67	232	3192
68	234	3158
69	235	3123
70	236	3088
71	237	3057
72	238	3024
73	239	2993
74	240	2966
75	241	2942
76	243	2924
77	245	2896
78	246	2869
79	247	2844
80	248	2820
81	250	2798
82	250	2767
83	251	2742
84	252	2717
85	253	2693
86	254	2672
87	256	2654
88	257	2635
89	258	2618
90	259	2595
91	260	2575
92	262	2557
93	263	2537
94	264	2516
95	265	2495
96	266	2476
97	267	2458
98	268	2440
99	269	2428
100	271	2417
101	273	2403
102	274	2388
103	275	2372
104	276	2361
105	278	2344
106	279	2329
107	280	2312
108	280	2295
109	281	2280
110	282	2265
111	284	2254
112	285	2243
113	287	2232
114	288	2218
115	289	2204
116	290	2191
117	291	2179
118	292	2164
119	293	2151
120	294	2138
121	295	2124
122	296	2111
123	297	2098
124	298	2087
125	299	2078
126	300	2067
127	302	2060
128	303	2048
129	304	2038
130	305	2027
131	306	2015
132	307	2004
133	308	1992
134	309	1982
135	310	1970
136	311	1960
137	312	1951
138	313	1944
139	315	1937
140	316	1927
141	317	1916
142	318	1907
143	319	1897
144	320	1887
145	320	1877
146	321	1867
147	322	1857
148	323	1848
149	324	1839
150	325	1830
151	326	1823
152	328	1816
153	329	1809
154	330	1802
155	331	1794
156	332	1785
157	333	1777
158	334	1769
159	335	1760
160	336	1751
161	337	1743
162	337	1734
163	338	1727
164	339	1718
165	340	1710
166	341	1702
167	342	1697
168	343	1691
169	345	1687
170	346	1680
171	347	1673
172	348	1667
173	350	1661
174	351	1655
175	352	1648
176	353	1641
177	353	1634
178	354	1628
179	356	1622
180	357	1617
181	358	1613
182	360	1607
183	361	1601
184	362	1595
185	363	1590
186	364	1583
187	365	1576
188	366	1570
189	366	1564
190	367	1558
191	368	1552
192	369	1545
193	371	1541
194	372	1538
195	374	1535
196	375	1530
197	376	1526
198	378	1521
199	378	1515
200	380	1510
201	380	1505
202	382	1499
203	382	1493
204	383	1488
205	384	1483
206	386	1479
207	387	1475
208	388	1470
209	389	1466
210	391	1462
211	392	1457
212	392	1451
213	393	1446
214	394	1442
215	395	1437
216	396	1432
217	397	1427
218	399	1423
219	400	1419
220	402	1417
221	403	1413
222	404	1408
223	405	1404
224	406	1400
225	407	1396
226	408	1391
227	409	1387
228	410	1382
229	411	1377
230	412	1372
231	413	1369
232	414	1365
233	416	1363
234	418	1360
235	419	1357
236	420	1352
237	421	1348
238	422	1344
239	423	1339
240	424	1335
241	425	1331
242	426	1327
243	427	1323
244	428	1319
245	428	1314
246	430	1311
247	431	1308
248	432	1305
249	433	1301
250	434	1297
251	435	1293
252	436	1289
253	437	1285
